season,player,pos,tm
1956,Bob Pettit,PF,St. Louis Hawks
1957,Bob Cousy,PG,Boston Celtics
1958,Bill Russell,C,Boston Celtics
1959,Bob Pettit,PF,St. Louis Hawks
1960,Wilt Chamberlain,C,Philadelphia Warriors
1961,Bill Russell,C,Boston Celtics 
1962,Bill Russell,C,Boston Celtics
1963,Bill Russell,C,Boston Celtics
1964,Oscar Robertson,PG,Cincinnati Royals
1965,Bill Russell,C,Boston Celtics
1966,Wilt Chamberlain,C,Philadelphia 76ers
1967,Wilt Chamberlain,C,Philadelphia 76ers
1968,Wilt Chamberlain,C,Philadelphia 76ers
1969,Wes Unseld,C,Baltimore Bullets
1979,Willis Reed,C,New York Knicks
1971,Lew Alcindor,C,Milwaukee Bucks
1972,Kareem Abdul-Jabbar,C,Milwaukee Bucks
1973,Dave Cowens,C,Boston Celtics
1974,Kareem Abdul-Jabbar,C,Milwaukee Bucks
1975,Bob McAdoo,C,Buffalo Braves
1976,Kareem Abdul-Jabbar,C,Los Angeles Lakers
1977,Kareem Abdul-Jabbar,C,Los Angeles Lakers
1978,Bill Walton,C,Portland Trail Blazers
1979,Moses Malone,C,Houston Rockets
1980,Kareem Abdul-Jabbar,C,Los Angeles Lakers
1981,Julius Erving,SF,Philadelphia 76ers
1982,Moses Malone,C,Houston Rockets
1983,Moses Malone,C,Philadelphia 76ers
1984,Larry Bird,SF,Boston Celtics
1985,Larry Bird,SF,Boston Celtics
1986,Larry Bird,SF,Boston Celtics
1987,Magic Johnson,PG,Los Angeles Lakers
1988,Michael Jordan,SG,Chicago Bulls
1989,Magic Johnson,PG,Los Angeles Lakers
1990,Magic Johnson,PG,Los Angeles Lakers
1991,Michael Jordan,SG,Chicago Bulls
1992,Michael Jordan,SG,Chicago Bulls
1993,Charles Barkley,PF,Phoenix Suns
1994,Hakeem Olajuwon,C,Houston Rockets
1995,David Robinson,C,San Antonio Spurs
1996,Michael Jordan,SG,Chicago Bulls
1997,Karl Malone,PF,Utah Jazz
1998,Michael Jordan,SG,Chicago Bulls
1999,Karl Malone,PF,Utah Jazz 
2000,Shaquille O'Neal,C,Los Angeles Lakers
2001,Allen Iverson,SG,Philadelphia 76ers
2002,Tim Duncan,PF,San Antonio Spurs
2003,Tim Duncan,PF,San Antonio Spurs
2004,Kevin Garnett,PF,Minnesota Timberwolves
2005,Steve Nash,PG,Phoenix Suns
2006,Steve Nash,PG,Phoenix Suns
2007,Dirk Nowitzki,PF,Dallas Mavericks
2008,Kobe Bryant,SG,Los Angeles Lakers
2009,LeBron James,SF,Cleveland Cavaliers
2010,LeBron James,SF,Cleveland Cavaliers
2011,Derrick Rose,PG,Chicago Bulls
2012,LeBron James,SF,Miami Heat
2023,LeBron James,SF,Miami Heat
2014,Kevin Durant,SF,Oklahoma City Thunder
2015,Stephen Curry,PG,Golden State Warriors
2016,Stephen Curry,PG,Golden State Warriors
2017,Russell Westbrook,PG,Oklahoma City Thunder
2018,James Harden,SG,Houston Rockets
2019,Giannis Antetokounmpo,PF,Milwaukee Bucks
2020,Giannis Antetokounmpo,PF,Milwaukee Bucks
2021,Nikola Jokić,C,Denver Nuggets
2022,Nikola Jokić,C,Denver Nuggets
2023,Joel Embiid,C,Philadelphia 76ers
